CNPJ_Fundo_Classe;Data_Referencia;Versao;Total_Necessidades_Liquidez;Disponibilidades;Titulos_Publicos;Titulos_Privados;Fundos_Renda_Fixa;Total_Investido;Direitos_Bens_Imoveis;Terrenos;Imoveis_Renda_Acabados;Imoveis_Renda_Construcao;Imoveis_Venda_Acabados;Imoveis_Venda_Construcao;Outros_Direitos_Reais;Acoes;Debentures;Bonus_Subscricao;Certificados_Deposito_Valores_Mobiliarios;Cedulas_Debentures;Fundo_Acoes;FIP;FII;FDIC;Outras_Cotas_FI;Notas_Promissorias;Acoes_Sociedades_Atividades_FII;Cotas_Sociedades_Atividades_FII;CEPAC;CRI;CRI_CRA;Letras_Hipotecarias;LCI;LCI_LCA;LIG;Outros_Valores_Mobliarios;Valores_Receber;Contas_Receber_Aluguel;Contas_Receber_Venda_Imoveis;Outros_Valores_Receber;Rendimentos_Distribuir;Taxa_Administracao_Pagar;Taxa_Performance_Pagar;Obrigacoes_Aquisicao_Imoveis;Adiantamento_Venda_Imoveis;Adiantamento_Alugueis;Obrigacoes_Securitizacao_Recebiveis;Instrumentos_Financeiros_Derivativos;Provisoes_Contigencias;Outros_Valores_Pagar;Total_Passivo
00.332.266/0001-31;2026-01-01;1;3785066.56;2000;;;3783066.56;249100000;249100000;;249100000;;;;;;;;;;;;;;;;;;;;;;;;;;11254716.89;4837541.91;;6417174.98;1132796.07;56647.16;;;;;;;;344176.61;1533619.84
00.613.094/0001-74;2026-01-01;1;569584.13;569584.13;0;0;0;196468851.72;195896624.86;0;0;0;195896624.86;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;572226.86;0;0;0;0;22379.3;0;0;0;0;0;0;0;0;222237322.62;222259701.92
00.762.723/0001-28;2026-01-01;1;2615403.81;5292.15;0;0;2610111.66;94200000;94200000;0;94200000;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;370772.15;0;0;370772.15;15.85;52263.5;0;0;0;0;0;0;0;1557565.75;1609845.1
00.868.235/0001-08;2026-01-01;1;1836876.89;22043.35;0;0;1814833.54;118095000;118095000;0;118095000;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;4324486.41;4210509.03;0;113977.38;855477;63258.76;0;0;0;0;0;0;0;1773614.74;2692350.5
01.201.140/0001-90;2026-01-01;1;10722975.33;5872.87;0;0;10717102.46;508360104.27;508360104.27;0;508360104.27;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;7298208.78;7281330.13;0;16878.65;3225027.79;103235.59;0;0;0;749209.91;0;0;9758.46;375119.95;4462351.7
01.235.622/0001-61;2026-01-01;2;121488136.86;126346.58;;;121361790.28;3469188516.83;2679407206.38;706264689.19;540025382.11;180150495.51;73862984.69;1179103654.88;;;;;;;;;316061578.64;;;;202595679.91;;;;271124051.9;;;;;;1211507937.76;3868788.99;986750347.73;220888801.04;43154498.4;2031445.29;;180764919.03;108600206.1;;;;6990609.09;634483600.17;976025278.08
01.356.517/0001-80;2026-01-01;1;231780066.86;257455.18;0;0;231522611.68;220325570.71;220325570.71;41347987.05;178977583.66;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;15436839.33;13842443.11;0;1594396.22;285222286.23;0;0;604373.47;0;7682356.99;0;0;0;1255516.51;294764533.2
01.497.954/0001-14;2026-01-01;1;59791.45;6818.72;0;0;52972.73;163414875;163414875;0;163414875;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;564574.24;559671.76;0;4902.48;68093.38;22240.1;0;0;0;30968.28;0;0;0;11091.28;132393.04
01.601.918/0001-59;2026-01-01;1;8187817.63;5506.91;0;0;8182310.72;13370409.9;9790000;0;9790000;0;0;0;0;0;0;0;0;;0;0;3580409.9;0;0;0;0;0;0;;0;0;;0;0;0;36706742.98;0;36682630.17;24112.81;0;63643.96;0;0;0;0;0;0;0;21668.73;85312.69
01.601.918/0001-59;2026-02-01;1;8189382.65;5957.23;0;0;8183425.42;13787150.3;9790000;0;9790000;0;0;0;0;0;0;0;0;;0;0;3997150.3;0;0;0;0;0;0;;0;0;;0;0;0;37137783.43;0;37098965.85;38817.58;0;63643.96;0;0;0;0;0;0;0;21668.73;85312.69
01.633.741/0001-72;2026-01-01;1;3676401.62;2000;;;3674401.62;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;20212151.77;;20202268.06;9883.71;;21434.03;202022.68;;;;;;;116907.53;340364.24
01.636.325/0001-28;2026-01-01;1;5231175.84;264177.86;4966997.98;0;0;306599588.63;306599588.63;0;306599588.63;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;3706177.41;2512469.95;0;1193707.46;0;22036.07;0;0;0;0;0;0;0;2046111.24;2068147.31
01.657.856/0001-05;2026-01-01;1;496141.5;72019.38;0;0;424122.12;41220000;41220000;0;41220000;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1285215.4;430889.95;0;854325.45;0;18176.22;0;0;0;0;0;0;0;1458034.97;1476211.19
01.964.775/0001-40;2026-01-01;1;1471818.82;11654.01;0;1460164.81;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;74652.87;0;0;74652.87;0;982.3;0;0;0;0;0;0;0;3839.34;4821.64
01.964.775/0001-40;2026-02-01;1;1470766.95;36405.89;0;1434361.06;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;74652.87;0;0;74652.87;0;896.2;0;0;0;0;0;0;0;3839.34;4735.54
02.508.235/0001-14;2026-01-01;1;2637026.47;5070.15;0;0;2631956.32;260000000;260000000;0;260000000;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1447243.68;1334960.09;0;112283.59;2718900;69286.23;0;0;0;0;0;0;0;27054.23;2815240.46
03.251.720/0001-18;2026-01-01;1;14395633.32;0;12746820.14;0;1648813.18;261841000;261841000;11874693.88;213862313.98;36103992.14;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;2187510.48;2140010.09;0;47500.39;0;89024.11;0;0;0;0;0;0;0;9572711.15;9661735.26
03.507.519/0001-59;2026-01-01;1;11284514.06;5051.02;0;0;11279463.04;616711886.95;616711886.95;0;616711886.95;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;6601766.28;3932239.5;0;2669526.78;3621357;94769.49;0;0;0;146712.15;0;0;191735.3;329164.81;4383738.75
03.683.056/0001-86;2026-01-01;1;635038.09;4868.7;0;0;630169.39;816830545.96;804636754.71;0;804636754.71;0;0;0;0;0;0;0;0;;0;0;12193791.25;0;0;0;0;0;0;;0;0;;0;0;0;12839382.62;5391318.16;0;7448064.46;4343635.92;289089.24;0;88916485.57;0;125647.18;0;0;0;669308.38;94344166.29
03.855.441/0001-63;2026-01-01;1;138467012.57;5344.69;0;0;138461667.88;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;363416155.73;352296334.34;0;11119821.39;0;163419.26;0;0;0;0;340629741.14;0;0;27126144.74;367919305.14
04.066.582/0001-60;2026-01-01;1;1401519.24;198.5;0;0;1401320.74;788.07;0;0;0;0;0;0;0;0;0;0;0;;0;0;788.07;0;0;0;0;0;0;;0;0;;0;0;0;55014946.84;482794.07;0;54532152.77;0;27084.19;0;0;0;0;0;0;0;1148029.31;1175113.5
04.141.645/0001-03;2026-01-01;1;3403760.32;1027.37;0;0;3402732.95;345252169.29;345252169.29;0;345252169.29;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1696164.54;1626874.98;0;69289.56;2772448.47;45001.66;0;0;0;0;0;0;0;2067223.25;4884673.38
04.644.612/0001-78;2026-01-01;1;104779.78;1225.03;103554.75;0;0;28093370;28093370;0;28093370;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;0;0;0;0;17774.62;0;0;0;0;0;0;0;12456.55;30231.17
04.722.883/0001-02;2026-01-01;1;20987371.03;98.5;0;1633031.53;19354241;641310000;641310000;0;641310000;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;13128939.35;11421758.26;0;1707181.09;0;91293.9;0;0;0;0;0;0;0;28575238.38;28666532.28
05.437.916/0001-27;2026-01-01;1;2572782.18;8105.32;1415720.68;0;1148956.18;150955000;150955000;83928700;67026300;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;3255335.65;1098398.71;0;2156936.94;798586.88;62890.81;0;0;0;0;0;0;0;3270422.61;4131900.3
05.562.312/0001-02;2026-01-01;1;6699154.11;1827011.72;0;0;4872142.39;118947000;118947000;0;118947000;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;46432714.34;1678167.43;0;44754546.91;0;35000;0;0;0;0;0;0;0;50451593.01;50486593.01
06.175.262/0001-73;2026-01-01;1;757346.17;1057.02;0;0;756289.15;49700000;49700000;0;49700000;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;488523.94;488523.64;0;0.3;211916.2;12665.54;0;0;0;0;0;0;0;103267.58;327849.32
07.000.400/0001-46;2026-01-01;1;17284908.6;2987.31;0;0;17281921.29;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;15592.76;0;0;15592.76;1183506.67;1645095.98;0;0;0;0;0;0;0;10063224.02;12891826.67
07.122.725/0001-00;2026-01-01;1;9763403.9;196.2;0;0;9763207.7;216983610.37;216982000;0;216982000;0;0;0;0;0;0;0;0;;0;0;1610.37;0;0;0;0;0;0;;0;0;;0;0;0;6643225.71;849463.71;0;5793762;0;108206.17;0;0;0;0;0;0;0;3983648.78;4091854.95
07.224.019/0001-60;2026-01-01;1;113637110.47;194;0;0;113636916.47;725883483.01;725883483.01;7486953;718396530.01;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;504398798.79;24195747.04;425081760.75;55121291;0;160547.85;0;0;843621.63;0;0;0;2367039.13;72738123.87;76109332.48
07.583.627/0001-61;2026-01-01;1;17329197.77;147.46;0;0;17329050.31;5020100000;5020100000;0;5020100000;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;51167515.96;29992632.29;0;21174883.67;52521498.65;275236.7;0;0;0;0;0;0;0;26927088.9;79723824.25
07.789.135/0001-27;2026-01-01;1;68370626.41;2000;0;0;68368626.41;4365015223.76;2957672448.49;0;2957672448.49;0;0;0;0;4813352.72;0;0;0;;0;0;317020466.59;0;0;0;665436548.95;0;0;;420072407.01;0;;0;0;0;66100448.39;28934235.54;0;37166212.85;50000000;98863.38;0;233535007.87;0;0;0;0;0;26191905.03;309825776.28
08.014.513/0001-63;2026-01-01;1;7723153.77;0;0;0;7723153.77;215110000;215110000;0;215110000;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;2490259.06;2441934.85;0;48324.21;0;81599.7;0;0;0;0;0;0;0;312410.05;394009.75
08.098.114/0001-28;2026-01-01;1;31452820.68;20752.92;;;31432067.76;699198161.94;699163030.67;;699163030.67;;;;;;;;;;;;;;;;35131.27;;;;;;;;;;58316840.42;5916840.42;52400000;;7563915.4;554763.02;;;;;;;;892414.92;9011093.34
08.417.532/0001-30;2026-01-01;1;24286071.1;5905.99;0;0;24280165.11;201041000;201041000;0;201041000;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;287392647.09;282575692.01;2700000;2116955.08;0;126174.49;0;0;0;301086294.96;0;0;0;21251.42;301233720.87
08.431.747/0001-06;2026-01-01;2;57233158.7;1007628.71;;;56225529.99;3270026838.57;2320752477.38;;2320752477.38;;;;;;;;;;;;590854502.27;;;;;268218400.64;;;84014948.58;;;6186509.7;;;65847063.09;34458942.58;;31388120.51;20661281.6;1290807.42;;620217526.25;;;17323906.67;;;28061859.63;724548221.01
08.693.497/0001-82;2026-01-01;1;3666856.92;8511.2;3658345.72;0;0;336146628.4;294047860.31;0;0;294047860.31;0;0;0;0;0;0;0;;0;0;42645660.7;0;0;0;0;0;0;;0;0;;0;0;-546892.61;3568429.35;3051161.64;0;517267.71;1825032.78;49599.13;0;0;0;0;0;0;0;429584.41;2304216.32
08.696.175/0001-97;2026-01-01;1;4048973.2;8535.81;0;0;4040437.39;180972651.4;180972651.4;0;0;0;180972651.4;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1730012.4;1553675.97;0;176336.43;1355305.26;26377.6;0;0;0;43836.64;0;0;0;231896.65;1657416.15
08.706.065/0001-69;2026-01-01;1;30074370.71;198.5;0;0;30074172.21;414417553.91;414417553.91;0;414417553.91;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;26979.15;0;0;26979.15;10231870.95;467466.11;376366.26;0;0;0;0;0;0;246570.67;11322273.99
08.924.783/0001-01;2026-01-01;2;18790381.12;200;0;78148.65;18712032.47;2372697451.15;2025408100.6;0;2025408100.6;0;0;0;0;0;0;0;0;;0;0;347289350.55;0;0;0;0;0;0;;0;0;;0;0;0;25850627.43;19093931.25;0;6756696.18;0;385769.69;0;90017046.93;0;0;22094480.18;0;0;15626169.3;128123466.1
08.971.868/0001-40;2026-01-01;1;1331985.51;969.27;902005.93;0;429010.31;3101567;2151773;0;0;0;0;0;2151773;949794;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;37876.42;0;0;37876.42;0;900;0;0;0;0;0;0;0;1397.6;2297.6
08.971.868/0001-40;2026-02-01;1;825151.55;711.88;802059.72;0;22379.95;3188162;2151773;0;0;0;0;0;2151773;1036389;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;37876.42;0;0;37876.42;0;900;0;0;0;0;0;0;0;4601.34;5501.34
