CNPJ_Fundo_Classe;Data_Referencia;Versao;Data_Informacao_Numero_Cotistas;Total_Numero_Cotistas;Numero_Cotistas_Pessoa_Fisica;Numero_Cotistas_Pessoa_Juridica_Nao_Financeira;Numero_Cotistas_Banco_Comercial;Numero_Cotistas_Corretora_Distribuidora;Numero_Cotistas_Outras_Pessoas_Juridicas_Financeira;Numero_Cotistas_Investidores_Nao_Residentes;Numero_Cotistas_Entidade_Aberta_Previdencia_Complementar;Numero_Cotistas_Entidade_Fechada_Previdência_Complementar;Numero_Cotistas_Regime_Proprio_Previdencia_Servidores_Publicos;Numero_Cotistas_Sociedade_Seguradora_Resseguradora;Numero_Cotistas_Sociedade_Capitalizacao_Arrendamento_Mercantil;Numero_Cotistas_FII;Numero_Cotistas_Outros_Fundos;Numero_Cotistas_Distribuidores_Fundo;Numero_Cotistas_Outros_Tipos;Valor_Ativo;Patrimonio_Liquido;Cotas_Emitidas;Valor_Patrimonial_Cotas;Percentual_Despesas_Taxa_Administracao;Percentual_Despesas_Agente_Custodiante;Percentual_Rentabilidade_Efetiva_Mes;Percentual_Rentabilidade_Patrimonial_Mes;Percentual_Dividend_Yield_Mes;Percentual_Amortizacao_Cotas_Mes
00.332.266/0001-31;2026-01-01;1;2026-01-30;3639;;;;;;;;;;;;;;;;264139783.45;262606163.61;2800149;93.7829249836348;0.000216;2.5E-05;0.01684;0.012521;0.004319;0
00.613.094/0001-74;2026-01-01;1;2026-01-30;501;483;;;;;1;;14;;1;;;;;2;197038435.85;-25221266.07;758400;-33.2558888053797;0;0;0.00686;0.007754;-0.000894;0
00.762.723/0001-28;2026-01-01;1;2026-01-31;2190;;;;;;;;;;;;;;;;97186175.96;95576330.86;5384912;17.748912305345;0.000547;0;-0.002875;-0.002875;0;0
00.868.235/0001-08;2026-01-01;1;2026-01-31;5;;;;;;;;;;;;;;;;124256363.3;121564012.8;54316;2238.08846012225;0.00052;0;0.006411;-0.000622;0.007033;0
01.201.140/0001-90;2026-01-01;1;2026-01-31;14013;;;;;;;;;;;;;;;;526381288.38;521918936.68;4709082;110.832416313838;0.000198;0;0.006195;0.000328;0.005867;0
01.235.622/0001-61;2026-01-01;2;2026-01-31;124;;;;;;;;;;;;;;;;4802184591.45;3826159313.37;1324930.00003248;2887.81997032009;0.000530935887301239;;0.016846;0.005505;0.011341;
01.356.517/0001-80;2026-01-01;1;2025-12-31;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;467542476.9;172777943.7;56701;3047.17630553253;0.0004;0;0.046488;0.046488;0;0
01.497.954/0001-14;2026-01-01;1;2026-01-31;6;;;;;;;;;;;;;;;;164039240.69;163906847.65;8703994;18.8312224996938;0.000136;0;0.002086;0.000179;0.001907;0
01.601.918/0001-59;2026-01-01;1;2026-01-31;1;;;;;;;;;;;;;;;;58264970.51;58179657.82;500000;116.35931564;0.001094;1E-06;0.008525;0.008525;0;0
01.601.918/0001-59;2026-02-01;1;2026-02-28;1;;;;;;;;;;;;;;;;59114316.38;59029003.69;500000;118.05800738;0.001078;1E-06;0.014599;0.014599;0;0
01.633.741/0001-72;2026-01-01;1;2026-01-30;406;;;;;;;;;;;;;;;;23888553.39;23548189.15;508008;46.3539730673533;0.00091;2.5E-05;0.003194;0.003194;0;0
01.636.325/0001-28;2026-01-01;1;2026-01-30;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;315536941.88;313468794.57;234900;1334.477627;7E-05;0;0.01532;0.007506;0.007814;0
01.657.856/0001-05;2026-01-01;1;2026-01-30;4231;;;;;;;;;;;;;;;;43001356.9;41525145.71;4200000;9.8869394547619;0.00438;0;0.001664;0.001664;0;0
01.964.775/0001-40;2026-01-01;1;2026-01-31;6;;1;;;;;;5;;;;;;;;1546471.69;1541650.05;12583000;0.122518481284272;0.0006;0.0004;0.0101;0.0101;0;0
01.964.775/0001-40;2026-02-01;1;2026-02-28;6;;1;;;;;;5;;;;;;;;1545419.82;1540684.28;12583000;0.122441729317333;0.0006;0.0004;-0.0006;-0.0006;0;0
02.508.235/0001-14;2026-01-01;1;2026-01-31;6;;;;;;;;;;;;;;;;264084270.15;261269029.69;17100;15278.8906251462;0.000265;0;0.004825;-0.009119;0.013944;0
03.251.720/0001-18;2026-01-01;1;2026-01-30;672;659;6;0;0;0;0;0;1;0;0;0;4;2;0;0;278424143.8;268762408.54;750000;358.349878;0.000331;0;0.011073;0.005525;0.005548;0
03.507.519/0001-59;2026-01-01;1;2026-01-31;2063;;;;;;;;;;;;;;;;634598167.29;630214428.54;608950;1034.91982681665;0.00015;0;0.005746;0.000621;0.005125;0
03.683.056/0001-86;2026-01-01;1;2026-01-31;24658;;;;;;;;;;;;;;;;830304966.67;735960800.38;3690695;199.409813159852;0.000415;3E-06;0.005781;0.000413;0.005368;0
03.855.441/0001-63;2026-01-01;1;2026-01-31;2;;;;;;;;;;;;;;;;501883168.3;133963863.16;144210661;0.928945628783991;0.00122;9E-06;0.017324;0.017324;0;0
04.066.582/0001-60;2026-01-01;1;2026-01-30;3003;2996;7;0;0;0;0;0;0;0;0;0;0;0;0;0;56417254.15;55242140.65;200000;276.210703;0.00049;0;0;0;0;0
04.141.645/0001-03;2026-01-01;1;2026-01-31;11230;;;;;;;;;;;;;;;;350352094.15;345467420.77;1380670;250.21722842533;0.00013;0;0.003781;-0.000334;0.004115;0
04.644.612/0001-78;2026-01-01;1;2026-01-30;2;;;;;;;;2;;;;;;;;28198149.78;28167918.61;2044676.01522874;13.7762258666925;0.000631023550092542;0.000357580201059804;-0.001092;-0.001092;0;0
04.722.883/0001-02;2026-01-01;1;2026-01-30;509;488;10;0;0;0;0;0;3;0;0;0;4;4;0;0;675426310.38;646759778.1;3935562;164.337337;0.000141;0;0.00741;0.004806;0.002604;0
05.437.916/0001-27;2026-01-01;1;2026-01-30;1995;1987;8;;;;;;;;;;;;;;156783117.83;152651217.53;383936;397.595478230747;0.000412;0;0.00121;0.00121;0;0
05.562.312/0001-02;2026-01-01;1;2026-01-30;2016;2008;;;;;;;;;;;;8;;;172078868.45;121592275.44;122538;992.282193605249;0;0;0.00037;0.00037;0;0
06.175.262/0001-73;2026-01-01;1;2026-01-30;458;;;;;;;;;;;;;;;;50945870.11;50618020.79;236000;214.483138940678;0.00025;3E-05;0.005431;0.001239;0.004192;0
07.000.400/0001-46;2026-01-01;1;2026-01-30;5522;5390;122;1;0;0;1;0;0;4;0;0;0;4;0;0;17300501.36;4408674.69;130000;33.912882;0.37315;0;-0.672338;-0.473378;-0.19896;0
07.122.725/0001-00;2026-01-01;1;2026-01-30;1875;1813;50;0;0;0;6;0;0;1;0;0;3;2;0;0;233390239.98;229298385.03;111177;2062.462425;0.000472;0;0;0;0;0
07.224.019/0001-60;2026-01-01;1;2026-01-30;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1343919392.27;1267810059.79;1189725;1065.632865;0.000127;0;0.048657;-0.015678;0.064335;0
07.583.627/0001-61;2026-01-01;1;2026-01-30;11;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5088596713.73;5008872889.48;224952;22266.407454;5.5E-05;0;0.072638;0.072638;0;0
07.789.135/0001-27;2026-01-01;1;2026-01-30;250;244;;;;;6;;;;;;;;;;4499486298.56;4189660522.28;34717612.9610135;120.678242682895;2.35969906092055E-05;7.07711277377294E-07;0.074567;0.061894;0.012673;0
08.014.513/0001-63;2026-01-01;1;2026-01-30;5197;5179;10;1;0;0;1;0;0;0;0;0;3;3;0;0;225323412.83;224929403.08;1293286;173.920852;0.000363;0;0;0;0;0
08.098.114/0001-28;2026-01-01;1;2026-01-31;413;;;;;;;;;;;;;;;;788967823.04;779956729.7;8898724;87.6481537914874;0.000711274098773893;;0.006507;-0.00316;0.009667;
